user_id,course_id,description,category,tags
user_82,course_8,"This course covers business, analytics, java, machine learning and helps improve skills in data science.",Data Science,"business, analytics, java, machine learning"
user_95,course_7,"This course covers cloud, design and helps improve skills in marketing.",Marketing,"cloud, design"
user_5,course_2,"This course covers analytics, java and helps improve skills in data science.",Data Science,"analytics, java"
user_78,course_2,"This course covers java, design and helps improve skills in marketing.",Marketing,"java, design"
user_29,course_29,"This course covers python, data, design and helps improve skills in marketing.",Marketing,"python, data, design"
user_44,course_18,"This course covers strategy, machine learning and helps improve skills in business.",Business,"strategy, machine learning"
user_12,course_25,"This course covers strategy, business, python and helps improve skills in data science.",Data Science,"strategy, business, python"
user_94,course_30,"This course covers design, machine learning and helps improve skills in marketing.",Marketing,"design, machine learning"
user_71,course_19,"This course covers cloud, analytics, machine learning and helps improve skills in marketing.",Marketing,"cloud, analytics, machine learning"
user_6,course_43,"This course covers machine learning, analytics, cloud and helps improve skills in business.",Business,"machine learning, analytics, cloud"
user_49,course_18,"This course covers strategy, data, cloud, java and helps improve skills in programming.",Programming,"strategy, data, cloud, java"
user_27,course_43,"This course covers machine learning, data, analytics, cloud and helps improve skills in design.",Design,"machine learning, data, analytics, cloud"
user_60,course_25,"This course covers java, analytics, strategy, design and helps improve skills in design.",Design,"java, analytics, strategy, design"
user_99,course_50,"This course covers python, strategy and helps improve skills in data science.",Data Science,"python, strategy"
user_52,course_18,"This course covers cloud, strategy and helps improve skills in data science.",Data Science,"cloud, strategy"
user_28,course_42,"This course covers ux, data, business and helps improve skills in programming.",Programming,"ux, data, business"
user_18,course_16,"This course covers business, design, java, data and helps improve skills in marketing.",Marketing,"business, design, java, data"
user_29,course_9,"This course covers machine learning, python, cloud and helps improve skills in marketing.",Marketing,"machine learning, python, cloud"
user_20,course_41,"This course covers design, machine learning, cloud, analytics and helps improve skills in business.",Business,"design, machine learning, cloud, analytics"
user_77,course_30,"This course covers java, python, machine learning and helps improve skills in marketing.",Marketing,"java, python, machine learning"
user_88,course_35,"This course covers strategy, machine learning, business, analytics and helps improve skills in design.",Design,"strategy, machine learning, business, analytics"
user_21,course_30,"This course covers business, java, data, cloud and helps improve skills in data science.",Data Science,"business, java, data, cloud"
user_14,course_41,"This course covers java, analytics, data, ux and helps improve skills in design.",Design,"java, analytics, data, ux"
user_98,course_11,"This course covers python, strategy, ux, cloud and helps improve skills in marketing.",Marketing,"python, strategy, ux, cloud"
user_15,course_24,"This course covers python, analytics and helps improve skills in design.",Design,"python, analytics"
user_73,course_6,"This course covers ux, machine learning, data, java and helps improve skills in data science.",Data Science,"ux, machine learning, data, java"
user_85,course_31,"This course covers business, java and helps improve skills in marketing.",Marketing,"business, java"
user_78,course_28,"This course covers analytics, business, design, strategy and helps improve skills in business.",Business,"analytics, business, design, strategy"
user_84,course_24,"This course covers ux, machine learning, analytics, java and helps improve skills in programming.",Programming,"ux, machine learning, analytics, java"
user_9,course_22,"This course covers java, analytics, cloud, python and helps improve skills in data science.",Data Science,"java, analytics, cloud, python"
user_10,course_46,"This course covers machine learning, python and helps improve skills in data science.",Data Science,"machine learning, python"
user_43,course_5,"This course covers business, ux and helps improve skills in marketing.",Marketing,"business, ux"
user_28,course_35,"This course covers cloud, ux, analytics, design and helps improve skills in business.",Business,"cloud, ux, analytics, design"
user_61,course_27,"This course covers machine learning, design and helps improve skills in business.",Business,"machine learning, design"
user_46,course_28,"This course covers python, machine learning, cloud and helps improve skills in programming.",Programming,"python, machine learning, cloud"
user_52,course_47,"This course covers analytics, cloud and helps improve skills in design.",Design,"analytics, cloud"
user_25,course_35,"This course covers design, data and helps improve skills in programming.",Programming,"design, data"
user_36,course_30,"This course covers ux, java and helps improve skills in business.",Business,"ux, java"
user_13,course_4,"This course covers machine learning, analytics and helps improve skills in marketing.",Marketing,"machine learning, analytics"
user_22,course_27,"This course covers analytics, design, python and helps improve skills in programming.",Programming,"analytics, design, python"
user_22,course_25,"This course covers business, ux, cloud and helps improve skills in data science.",Data Science,"business, ux, cloud"
user_55,course_45,"This course covers ux, data, analytics, java and helps improve skills in marketing.",Marketing,"ux, data, analytics, java"
user_28,course_4,"This course covers java, python, strategy, cloud and helps improve skills in marketing.",Marketing,"java, python, strategy, cloud"
user_7,course_38,"This course covers java, data, python, business and helps improve skills in programming.",Programming,"java, data, python, business"
user_11,course_12,"This course covers machine learning, analytics, design, python and helps improve skills in data science.",Data Science,"machine learning, analytics, design, python"
user_73,course_16,"This course covers python, machine learning, design, strategy and helps improve skills in marketing.",Marketing,"python, machine learning, design, strategy"
user_75,course_37,"This course covers business, analytics, strategy and helps improve skills in marketing.",Marketing,"business, analytics, strategy"
user_31,course_17,"This course covers business, ux and helps improve skills in programming.",Programming,"business, ux"
user_41,course_49,"This course covers ux, machine learning and helps improve skills in data science.",Data Science,"ux, machine learning"
user_10,course_35,"This course covers business, data, strategy, python and helps improve skills in business.",Business,"business, data, strategy, python"
user_32,course_24,"This course covers ux, java and helps improve skills in design.",Design,"ux, java"
user_91,course_20,"This course covers java, python, business, strategy and helps improve skills in marketing.",Marketing,"java, python, business, strategy"
user_14,course_9,"This course covers machine learning, java and helps improve skills in design.",Design,"machine learning, java"
user_20,course_18,"This course covers analytics, strategy, cloud, java and helps improve skills in design.",Design,"analytics, strategy, cloud, java"
user_82,course_17,"This course covers business, python, machine learning and helps improve skills in marketing.",Marketing,"business, python, machine learning"
user_82,course_28,"This course covers python, strategy and helps improve skills in design.",Design,"python, strategy"
user_99,course_9,"This course covers ux, java and helps improve skills in design.",Design,"ux, java"
user_91,course_28,"This course covers machine learning, cloud and helps improve skills in marketing.",Marketing,"machine learning, cloud"
user_89,course_10,"This course covers strategy, java and helps improve skills in marketing.",Marketing,"strategy, java"
user_19,course_28,"This course covers business, strategy and helps improve skills in business.",Business,"business, strategy"
user_6,course_23,"This course covers analytics, machine learning, strategy, design and helps improve skills in business.",Business,"analytics, machine learning, strategy, design"
user_72,course_27,"This course covers data, analytics, cloud, design and helps improve skills in marketing.",Marketing,"data, analytics, cloud, design"
user_23,course_27,"This course covers strategy, design and helps improve skills in data science.",Data Science,"strategy, design"
user_86,course_48,"This course covers data, machine learning, design and helps improve skills in business.",Business,"data, machine learning, design"
user_5,course_31,"This course covers ux, strategy and helps improve skills in business.",Business,"ux, strategy"
user_40,course_15,"This course covers analytics, design and helps improve skills in business.",Business,"analytics, design"
user_43,course_18,"This course covers strategy, java, design and helps improve skills in data science.",Data Science,"strategy, java, design"
user_87,course_35,"This course covers machine learning, business and helps improve skills in design.",Design,"machine learning, business"
user_23,course_38,"This course covers machine learning, design and helps improve skills in design.",Design,"machine learning, design"
user_45,course_47,"This course covers cloud, java, machine learning and helps improve skills in design.",Design,"cloud, java, machine learning"
user_50,course_37,"This course covers python, design, cloud and helps improve skills in business.",Business,"python, design, cloud"
user_67,course_35,"This course covers design, machine learning, strategy and helps improve skills in business.",Business,"design, machine learning, strategy"
user_80,course_21,"This course covers business, java, cloud, strategy and helps improve skills in data science.",Data Science,"business, java, cloud, strategy"
user_53,course_21,"This course covers business, java, data, machine learning and helps improve skills in programming.",Programming,"business, java, data, machine learning"
user_54,course_43,"This course covers data, business, design, java and helps improve skills in programming.",Programming,"data, business, design, java"
user_1,course_20,"This course covers design, strategy and helps improve skills in design.",Design,"design, strategy"
user_60,course_29,"This course covers analytics, java, ux, design and helps improve skills in programming.",Programming,"analytics, java, ux, design"
user_95,course_11,"This course covers java, strategy, machine learning and helps improve skills in data science.",Data Science,"java, strategy, machine learning"
user_97,course_16,"This course covers analytics, data and helps improve skills in design.",Design,"analytics, data"
user_4,course_3,"This course covers cloud, machine learning, ux and helps improve skills in business.",Business,"cloud, machine learning, ux"
user_54,course_41,"This course covers design, ux and helps improve skills in marketing.",Marketing,"design, ux"
user_52,course_16,"This course covers python, machine learning, design, java and helps improve skills in business.",Business,"python, machine learning, design, java"
user_23,course_45,"This course covers python, java, analytics and helps improve skills in marketing.",Marketing,"python, java, analytics"
user_16,course_30,"This course covers java, cloud, strategy and helps improve skills in business.",Business,"java, cloud, strategy"
user_97,course_29,"This course covers java, design, ux, machine learning and helps improve skills in marketing.",Marketing,"java, design, ux, machine learning"
user_96,course_31,"This course covers analytics, business, ux and helps improve skills in programming.",Programming,"analytics, business, ux"
user_81,course_16,"This course covers machine learning, business, analytics and helps improve skills in design.",Design,"machine learning, business, analytics"
user_35,course_22,"This course covers machine learning, data, java, cloud and helps improve skills in design.",Design,"machine learning, data, java, cloud"
user_50,course_45,"This course covers analytics, machine learning, design, cloud and helps improve skills in business.",Business,"analytics, machine learning, design, cloud"
user_43,course_35,"This course covers python, analytics, design and helps improve skills in programming.",Programming,"python, analytics, design"
user_50,course_50,"This course covers python, design, ux, cloud and helps improve skills in marketing.",Marketing,"python, design, ux, cloud"
user_46,course_20,"This course covers java, cloud, analytics and helps improve skills in programming.",Programming,"java, cloud, analytics"
user_63,course_15,"This course covers ux, python, design and helps improve skills in design.",Design,"ux, python, design"
user_44,course_43,"This course covers data, ux, cloud, business and helps improve skills in programming.",Programming,"data, ux, cloud, business"
user_69,course_2,"This course covers cloud, python, machine learning, strategy and helps improve skills in programming.",Programming,"cloud, python, machine learning, strategy"
user_55,course_9,"This course covers python, business and helps improve skills in programming.",Programming,"python, business"
user_49,course_21,"This course covers strategy, cloud, design and helps improve skills in business.",Business,"strategy, cloud, design"
user_36,course_49,"This course covers machine learning, ux, python and helps improve skills in programming.",Programming,"machine learning, ux, python"
user_96,course_35,"This course covers analytics, machine learning, python and helps improve skills in data science.",Data Science,"analytics, machine learning, python"
user_97,course_2,"This course covers python, data and helps improve skills in business.",Business,"python, data"
user_31,course_9,"This course covers machine learning, analytics, ux, strategy and helps improve skills in programming.",Programming,"machine learning, analytics, ux, strategy"
user_33,course_50,"This course covers cloud, machine learning and helps improve skills in design.",Design,"cloud, machine learning"
user_100,course_11,"This course covers cloud, python and helps improve skills in design.",Design,"cloud, python"
user_40,course_37,"This course covers analytics, machine learning, cloud and helps improve skills in programming.",Programming,"analytics, machine learning, cloud"
user_14,course_45,"This course covers cloud, machine learning, python, data and helps improve skills in design.",Design,"cloud, machine learning, python, data"
user_69,course_28,"This course covers java, strategy and helps improve skills in design.",Design,"java, strategy"
user_2,course_27,"This course covers design, strategy and helps improve skills in programming.",Programming,"design, strategy"
user_82,course_30,"This course covers data, java, business and helps improve skills in business.",Business,"data, java, business"
user_79,course_35,"This course covers design, business, strategy and helps improve skills in programming.",Programming,"design, business, strategy"
user_32,course_6,"This course covers analytics, ux, design and helps improve skills in design.",Design,"analytics, ux, design"
user_44,course_2,"This course covers data, ux, analytics and helps improve skills in programming.",Programming,"data, ux, analytics"
user_46,course_17,"This course covers cloud, business, python and helps improve skills in design.",Design,"cloud, business, python"
user_67,course_13,"This course covers design, ux and helps improve skills in data science.",Data Science,"design, ux"
user_72,course_49,"This course covers ux, cloud, java, design and helps improve skills in business.",Business,"ux, cloud, java, design"
user_3,course_6,"This course covers design, analytics and helps improve skills in design.",Design,"design, analytics"
user_40,course_43,"This course covers ux, java, strategy and helps improve skills in marketing.",Marketing,"ux, java, strategy"
user_55,course_48,"This course covers strategy, ux, business and helps improve skills in marketing.",Marketing,"strategy, ux, business"
